epoch,accuracy,loss,val_accuracy,val_loss
0,0.540821373462677,1.2400100231170654,0.7727272510528564,0.7720609307289124
1,0.7738743424415588,0.7038950324058533,0.8359683752059937,0.5590210556983948
2,0.8278080224990845,0.5560250282287598,0.8557312488555908,0.47501906752586365
3,0.8411677479743958,0.48173487186431885,0.8636363744735718,0.43020352721214294
4,0.8614547252655029,0.44711068272590637,0.8735178112983704,0.4025813639163971
5,0.8728352189064026,0.3967573940753937,0.8814229369163513,0.37876150012016296
6,0.8683819770812988,0.3960367739200592,0.8833991885185242,0.363065630197525
7,0.8852053284645081,0.35386425256729126,0.8814229369163513,0.35005271434783936
8,0.8832260966300964,0.3437325954437256,0.8814229369163513,0.3406039774417877
9,0.8896585702896118,0.32688528299331665,0.8913043737411499,0.33051884174346924
10,0.8896585702896118,0.31264403462409973,0.8814229369163513,0.33004048466682434
11,0.9000495076179504,0.30820563435554504,0.8952569365501404,0.31890925765037537
12,0.9079663753509521,0.28555411100387573,0.8893280625343323,0.3174121677875519
13,0.909945547580719,0.28033050894737244,0.8913043737411499,0.31200793385505676
14,0.9114300012588501,0.27401915192604065,0.8873517513275146,0.3083914816379547
15,0.9139040112495422,0.26969704031944275,0.8913043737411499,0.30489471554756165
16,0.908955991268158,0.26425981521606445,0.8952569365501404,0.2993983030319214
17,0.9252845048904419,0.24978001415729523,0.8913043737411499,0.2978401780128479
18,0.9307273626327515,0.23242589831352234,0.9011857509613037,0.2924814522266388
19,0.9158832430839539,0.2580944895744324,0.8972331881523132,0.291692316532135
20,0.9188520312309265,0.24528132379055023,0.8952569365501404,0.287402868270874
21,0.9238001108169556,0.23917098343372345,0.9011857509613037,0.2807614803314209
22,0.9242948889732361,0.23221242427825928,0.9051383137702942,0.2826972007751465
23,0.927758514881134,0.23338040709495544,0.9011857509613037,0.28173601627349854
24,0.9317169785499573,0.21406780183315277,0.9071146249771118,0.28101447224617004
25,0.9341909885406494,0.2095128893852234,0.9031620621681213,0.2804546654224396
26,0.9242948889732361,0.21754971146583557,0.9031620621681213,0.2796580195426941
27,0.9287481307983398,0.20139476656913757,0.9031620621681213,0.27810436487197876
28,0.930232584476471,0.2091892957687378,0.9011857509613037,0.27644234895706177
29,0.9346858263015747,0.18920715153217316,0.9031620621681213,0.27478405833244324
30,0.9401286244392395,0.20083756744861603,0.9090909361839294,0.2737658619880676
31,0.9371598362922668,0.19552205502986908,0.9071146249771118,0.2767944037914276
32,0.9327065944671631,0.19592148065567017,0.9011857509613037,0.27485471963882446
33,0.9435923099517822,0.18247894942760468,0.9051383137702942,0.27340012788772583
34,0.9356753826141357,0.19203974306583405,0.9031620621681213,0.27332913875579834
35,0.9391390681266785,0.18799009919166565,0.9071146249771118,0.26762741804122925
36,0.9376546144485474,0.18661585450172424,0.9130434989929199,0.2718941867351532
37,0.9356753826141357,0.18440620601177216,0.9011857509613037,0.2718222141265869
38,0.9386442303657532,0.18013398349285126,0.9071146249771118,0.26885727047920227
39,0.9411182403564453,0.16936151683330536,0.9071146249771118,0.268141508102417
40,0.9460663199424744,0.16856013238430023,0.9090909361839294,0.26325395703315735
41,0.9356753826141357,0.17816713452339172,0.9130434989929199,0.2627941071987152
42,0.9465610980987549,0.17265242338180542,0.9090909361839294,0.2666093111038208
43,0.9475507140159607,0.16411557793617249,0.9071146249771118,0.26881957054138184
44,0.949035108089447,0.16662518680095673,0.9051383137702942,0.2653537690639496
45,0.9426026940345764,0.16414962708950043,0.9011857509613037,0.2675683796405792
46,0.9421078562736511,0.16718468070030212,0.9011857509613037,0.26651039719581604
47,0.9445818662643433,0.16654421389102936,0.9130434989929199,0.2587704062461853
48,0.9435923099517822,0.16138841211795807,0.9051383137702942,0.26500654220581055
49,0.9391390681266785,0.16681325435638428,0.9051383137702942,0.2586005926132202
50,0.9465610980987549,0.16002143919467926,0.9031620621681213,0.2642332911491394
51,0.9485403299331665,0.15669335424900055,0.9051383137702942,0.26673516631126404
52,0.9475507140159607,0.1618533879518509,0.9090909361839294,0.2642957866191864
53,0.9430974721908569,0.1687239557504654,0.9051383137702942,0.26704588532447815
54,0.9455714821815491,0.16444708406925201,0.9011857509613037,0.2673451900482178
55,0.9534883499145508,0.1505272090435028,0.9031620621681213,0.2655063569545746
56,0.9500247240066528,0.14624251425266266,0.9090909361839294,0.2667999267578125
57,0.9495299458503723,0.14848802983760834,0.9090909361839294,0.2622723877429962
58,0.9485403299331665,0.15204277634620667,0.9071146249771118,0.2637161910533905
59,0.9475507140159607,0.15153905749320984,0.9110671877861023,0.26148033142089844
